울프하운드 아이리쉬 펍,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1857138-Reviews-The_Wolfhound_Irish_Pub_Restaurant-Seoul.html
새벽집 청담점,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9106251-Reviews-Saebyukjip_Cheongdam-Seoul.html
토다이 명동점,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4076311-Reviews-Todai_Myeongdong-Seoul.html
팔색 삼겹살 동대문점,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7086580-Reviews-Palsaek_Samgyeobsal_Dongdaemun-Seoul.html
빌즈 잠실,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7234215-Reviews-Bills_Jamsil-Seoul.html
사프란 레스토랑,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2690788-Reviews-Saffron_Restaurant_Seoul-Seoul.html
나마스테 해운대점,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d4166622-Reviews-Namaste_Haeundae-Busan.html
갈매기 브루어리,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d6941970-Reviews-Galmegi_Brewing_Gwangan-Busan.html
더파티,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d3957675-Reviews-The_Party_Haeundae-Busan.html
송정 3대 국밥,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d4118373-Reviews-Songjeong_Samdae_Gukbop-Busan.html
개미집,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d3600528-Reviews-Gaemijip-Busan.html
금수복국,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d3923205-Reviews-Geumsu_Bokkuk_Main-Busan.html
본전 돼지국밥,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d2179316-Reviews-Bonjeon_Dwaeji_Gugbap-Busan.html
쌍둥이돼지국밥,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d4033847-Reviews-Ssangdoongi_Dwaeji_Gukbap-Busan.html
할매가야밀면,https://www.tripadvisor.co.kr/Restaurant_Review-g297884-d6494542-Reviews-Halmae_Gaya_Milmyeon-Busan.html
피에르가니에르,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1437932-Reviews-Pierre_Gagnaire_Seoul-Seoul.html
마포진짜 원조 최대포,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1194021-Reviews-Mapo_Jinjja_Wonjo_Choidaepo-Seoul.html
파리바게트 강남역점,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3329965-Reviews-Paris_Baguette_Gangnam_Station-Seoul.html
설빙 인사점,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7007845-Reviews-Sulbing_Insadong-Seoul.html
브루 3.14,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4826338-Reviews-Brew_3_14-Seoul.html
프로스트,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9321613-Reviews-Prost_Pub_Grill-Seoul.html
더 잿 래그드 리자드,https://www.tripadvisor.co.kr/Restaurant_Review-g297889-d4413979-Reviews-The_Jet_Lagged_Lizard-Incheon.html
레스토랑 8,https://www.tripadvisor.co.kr/Restaurant_Review-g297889-d4084252-Reviews-Restaurant_8-Incheon.html
풀사이드 228,https://www.tripadvisor.co.kr/Restaurant_Review-g297889-d6591959-Reviews-Poolside_228-Incheon.html
바그다드,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d1140355-Reviews-Bagdad_Cafe-Jeju_Jeju_Island.html
광원,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d2293565-Reviews-Sunny_Garden-Jeju_Jeju_Island.html
흑돈가,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d3612193-Reviews-Heukdonga_Jeju-Jeju_Jeju_Island.html
민트,https://www.tripadvisor.co.kr/Restaurant_Review-g297892-d6591967-Reviews-Mint-Seogwipo_Jeju_Island.html
마츠,https://www.tripadvisor.co.kr/Restaurant_Review-g317129-d5927684-Reviews-Matsu-Sokcho_Gangwon_do.html
지화자,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d10257443-Reviews-Jihwaja-Seoul.html
홍시한정식,https://www.tripadvisor.co.kr/Restaurant_Review-g297888-d5972609-Reviews-Hongsi_Hanjungsik-Gyeongju_Gyeongsangbuk_do.html
